;10;12;14;16;18;20;22;24;26;28;30;35;40;45;50;55;60;65;70;75;80;85;90
10;428;359;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12;359;295;253;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
14;315;253;214;187;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;284;225;187;162;143;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;262;204;168;143;126;113;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
20;245;188;153;130;113;100;91;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
22;232;177;142;119;103;91;81;74;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
24;221;167;134;111;95;83;74;67;61;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
26;213;160;126;104;89;77;68;61;56;51;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
28;206;153;120;99;83;72;63;57;51;47;43;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
30;199;143;115;94;79;68;59;53;48;43;40;33;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
35;183;137;106;85;71;60;52;46;41;37;33;27;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
40;179;129;99;79;65;54;47;41;36;32;29;23;19;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
45;172;124;93;74;60;50;43;37;32;28;25;20;16;13;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
50;167;119;89;70;57;47;39;34;29;26;23;18;14;11;9;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
55;162;115;86;67;54;44;37;32;27;24;21;16;12;10;8;7;5;NaN;NaN;NaN;NaN;NaN;NaN
60;159;113;83;64;51;42;35;30;25;22;19;14;11;9;7;5;4;4;NaN;NaN;NaN;NaN;NaN
65;155;109;80;62;49;40;33;28;24;21;18;13;10;7;6;5;4;3;2;NaN;NaN;NaN;NaN
70;152;106;78;60;48;38;32;27;23;19;17;12;9;7;5;4;3;2;2;1;NaN;NaN;NaN
75;150;104;76;58;46;37;30;25;21;18;16;11;8;6;4;3;2;2;1;1;1;NaN;NaN
80;147;102;74;57;45;36;29;24;20;17;15;10;7;5;4;3;2;1;1;1;0;0;NaN
85;145;100;73;55;43;34;28;23;19;16;14;10;7;5;3;2;2;1;1;0;0;0;0
90;143;98;71;54;42;33;27;22;19;16;13;9;6;4;3;2;1;1;1;0;0;0;0
95;140;96;70;53;41;32;26;22;18;15;13;9;6;4;3;2;1;1;0;0;0;0;NaN
100;138;95;68;51;40;31;25;21;17;14;12;8;6;4;3;2;1;1;0;0;0;NaN;NaN
105;136;93;67;50;39;30;25;20;17;14;12;8;5;4;2;2;1;1;0;0;NaN;NaN;NaN
110;134;91;65;49;38;30;24;19;16;13;11;7;5;3;2;2;1;1;1;NaN;NaN;NaN;NaN
115;132;89;64;48;37;29;23;19;15;13;11;7;5;3;2;2;1;1;NaN;NaN;NaN;NaN;NaN
120;129;88;62;46;36;28;22;18;15;12;10;7;5;3;2;2;1;NaN;NaN;NaN;NaN;NaN;NaN
125;127;86;61;45;35;27;22;18;14;12;10;7;5;4;3;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
130;125;84;59;44;34;26;21;17;14;12;10;7;5;4;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
135;122;82;58;43;33;26;21;17;14;12;10;7;5;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
140;119;80;56;42;32;25;20;17;14;12;10;8;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
145;116;77;55;41;32;25;21;17;15;13;11;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;112;75;54;40;32;26;21;18;16;15;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
152;111;75;53;40;32;26;22;19;17;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
154;110;74;53;41;33;27;23;21;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
156;108;74;54;42;34;28;25;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
158;107;74;54;43;35;30;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;107;74;56;45;38;33;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
162;107;76;59;48;42;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
164;109;79;63;54;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
166;113;86;71;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
168;122;98;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
170;143;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
